,author,developer_reply,review,review_date,reviewer_ratings,star
0,Shelyna Emerald,," For the most part it's a great app. But it gets so dang annoying that I get 1000's of notifications saying, ""We noticed an unusual login from a device or location you normally don't use. Please review."" I use two devices. My bf uses/has used the same two devices. We logged in and out of our fb accou...Full ReviewFor the most part it's a great app. But it gets so dang annoying that I get 1000's of notifications saying, ""We noticed an unusual login from a device or location you normally don't use. Please review."" I use two devices. My bf uses/has used the same two devices. We logged in and out of our fb accounts on each others phones. I told fb this many times. I even asked them to stop harassing me and please fix this bug but it has been non stop for months. Getting really annoying!","February 24, 2021",1437,Rated 3 stars out of five stars
1,Ashley Krall,," I used Facebook a lot. I also liked to use marketplace. I like to support local community members, but since the recent update my entire marketplace feed it ships to you. If you're not searching for something specific, there's no way to filter for local pickup only. Facebook please fix this. It's an...Full ReviewI used Facebook a lot. I also liked to use marketplace. I like to support local community members, but since the recent update my entire marketplace feed it ships to you. If you're not searching for something specific, there's no way to filter for local pickup only. Facebook please fix this. It's annoying.","February 20, 2021",169,Rated 3 stars out of five stars
2,Ashton Trobridge,," Filter options on marketplace while using a mobile device are very limited I can only choose wether I want to look at a truck, car, motorcycle, etc. No filters that im able to access on a mobile device are available for mileage, year's, condition, etc. Marketplace on a computer compared to a cell ph...Full ReviewFilter options on marketplace while using a mobile device are very limited I can only choose wether I want to look at a truck, car, motorcycle, etc. No filters that im able to access on a mobile device are available for mileage, year's, condition, etc. Marketplace on a computer compared to a cell phone is a day and night difference. Please just make marketplace exactly how it is on the computer.","February 24, 2021",128,Rated 1 stars out of five stars
3,Maria Isabel Ibaseta,," So recently my Facebook suddenly changed from featuring individual photos to 'Collections' and they're displayed via 'Stories' format. I want to change it back to the 9-square featured photos but it's not showing me an option for that. When I edit my About/Details and choose to add more photos on th...Full ReviewSo recently my Facebook suddenly changed from featuring individual photos to 'Collections' and they're displayed via 'Stories' format. I want to change it back to the 9-square featured photos but it's not showing me an option for that. When I edit my About/Details and choose to add more photos on the 'Featured' section, it's still in the Stories format. This happened when I deleted my highlight stories and when I decided to change it back, it suddenly switched to the Collections-Story😠😠😠😠😠","February 24, 2021",94,Rated 1 stars out of five stars
4,Roosevelt McCarter,," I'm getting an error message that reads ""Something went wrong. Please try again, due to Site Maintenance on my Mobile App. I really need to keep it up-to-date so it can be running smoothly. My News Feed was going blank and I'll have to close out of the App and reopen Facebook. I'm very frustrated be...Full ReviewI'm getting an error message that reads ""Something went wrong. Please try again, due to Site Maintenance on my Mobile App. I really need to keep it up-to-date so it can be running smoothly. My News Feed was going blank and I'll have to close out of the App and reopen Facebook. I'm very frustrated because it's not responding and I really need Troubleshooting Steps to get back online. As a result, I'll have to follow instructions and get help by simply going to settings. Once I do that real quick.","February 23, 2021",1796,Rated 5 stars out of five stars
5,Bobby Singh,," Facebook is the perfect environment to stay connected. With the status updates, photos, and profile information, we can know updated information about our connected friends or relatives. Facebook helps us to know and meet new people easily. We can search for our friends with the name or mobile numbe...Full ReviewFacebook is the perfect environment to stay connected. With the status updates, photos, and profile information, we can know updated information about our connected friends or relatives. Facebook helps us to know and meet new people easily. We can search for our friends with the name or mobile number. Using Facebook, one can express one’s opinion easily and others can comment on that.","February 16, 2021",6191,Rated 5 stars out of five stars
6,Melissa McAllister,," The new similar posts page when you click on a public image (like a meme) is really annoying. It cuts off a bunch of the picture I'm trying to look at, and I have to click on the image a second time to see all of it, then go back twice just to get back to my timeline. The suggested posts for after v...Full ReviewThe new similar posts page when you click on a public image (like a meme) is really annoying. It cuts off a bunch of the picture I'm trying to look at, and I have to click on the image a second time to see all of it, then go back twice just to get back to my timeline. The suggested posts for after videos are also very annoying. I just want to scroll my timeliness, not be taken all over the place when I look at a meme or a video. I also can't move pictures into an album from inside the app.","February 12, 2021",2878,Rated 2 stars out of five stars
7,Amdadur Rahaman,," Facebook is the perfect environment to stay connected. With the status updates, photos, and profile information, we can know updated information about our connected friends or relatives. Facebook helps us to know and meet new people easily. We can search for our friends with the name or mobile numbe...Full ReviewFacebook is the perfect environment to stay connected. With the status updates, photos, and profile information, we can know updated information about our connected friends or relatives. Facebook helps us to know and meet new people easily. We can search for our friends with the name or mobile number. Using Facebook, one can express one’s opinion easily and others can comment on that.","February 20, 2021",361,Rated 5 stars out of five stars
8,Marie Carew,," An increased amount of sponsored ads on my newsfeed, i went through all setting and turned off anything I could find and still ads are showing up, i see more ads than i do of updates from friends, also my newsfeed is all over the place not in order of update from friends, i will see something posted...Full ReviewAn increased amount of sponsored ads on my newsfeed, i went through all setting and turned off anything I could find and still ads are showing up, i see more ads than i do of updates from friends, also my newsfeed is all over the place not in order of update from friends, i will see something posted 17 mins ago then next is something that was posted 2 days ago, there is just no consistency on my newsfeed, ads are just taking over, any idea on how to stop that?","February 23, 2021",51,Rated 1 stars out of five stars
9,Cory The Lucid Dreamer,," Fix this app please! I tried to log into my Facebook account too many times but it won't let me I kept getting this message ""An unexpected error occurred. Please try logging in again!"" It won't let me uninstall the app but it tells me to update it so I did but I'm still having the same problem very ...Full ReviewFix this app please! I tried to log into my Facebook account too many times but it won't let me I kept getting this message ""An unexpected error occurred. Please try logging in again!"" It won't let me uninstall the app but it tells me to update it so I did but I'm still having the same problem very frustrating the developer needs to see what's going on!","February 22, 2021",3426,Rated 1 stars out of five stars
10,Hajar EL HOUSSNI,," FACEBOOK was super great for as long as I remember. However, things has changed. I have a very old account and when I logged into it, I couldn't like, post, comment or do anything at all. I even tried to create a new account and the same issue occured. Like, seriously? I can't do anything but post s...Full ReviewFACEBOOK was super great for as long as I remember. However, things has changed. I have a very old account and when I logged into it, I couldn't like, post, comment or do anything at all. I even tried to create a new account and the same issue occured. Like, seriously? I can't do anything but post stories. I don't know if this issue happened to others too but it's so frustrating. Mind you, I didn't add people/did something against rules. I even started thinking about not using Facebook anymore.","February 17, 2021",3259,Rated 1 stars out of five stars
