,author,developer_reply,review,review_date,reviewer_ratings,star
0,류준,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2021년 12월 28일</span></div>류준님 안녕하세요. 자세하게 말씀해주셔서 감사해요. 번거로우시겠지만, [나의당근 &gt; 자주묻는질문 &gt; 문의하기] 를 통해 다시 한 번 글 남겨 주실 수 있을까요? 이곳은 외부채널이다보니, 자세한 상황 확인 및 처리에 어려움이 있어요.
확인 후 담당 부서에서 향후 업데이트와 수정에 참고하겠습니다. 감사합니다. 당근마켓 팀 드림</div>"," 검색하고 뒤로가기 할 때 이전 화면이 아닌, 이전이전 화면으로 가는 버그 알고 있는 것 같은데 언제 수정하나요? 버그 레포트한 후에 재현이 안된다고 해서 현상을 업데이트합니다. 1. 현재상태 : [설정]-[앱 캐시 정리] 한후에는 다시 재현이 안되는 것 같습니다. 2. 이전 문제 현상: . ""XXX""라는 검색어로 검색해서 리스트에서 item 선택 . 다시 main page에서 ""YYY""라는 검색어로 검색해서 리스트 보임. 여기서 하나의 list item에 들어가서 바로 back하면 ""YYY"" 검색 리스트 화면으로 돌아옴 . 그러나 ...전체 리뷰검색하고 뒤로가기 할 때 이전 화면이 아닌, 이전이전 화면으로 가는 버그 알고 있는 것 같은데 언제 수정하나요? 버그 레포트한 후에 재현이 안된다고 해서 현상을 업데이트합니다. 1. 현재상태 : [설정]-[앱 캐시 정리] 한후에는 다시 재현이 안되는 것 같습니다. 2. 이전 문제 현상: . ""XXX""라는 검색어로 검색해서 리스트에서 item 선택 . 다시 main page에서 ""YYY""라는 검색어로 검색해서 리스트 보임. 여기서 하나의 list item에 들어가서 바로 back하면 ""YYY"" 검색 리스트 화면으로 돌아옴 . 그러나 ""YYY"" 검색 리스트에서 한 아이템 선택하고 거기서 해당 item의 image를 눌러서 이미지 살펴보다 back back하면 ""YYY""검색 리스트가 아닌 이전 ""XXX"" 검색 리스트가 보임. . 검색어 history에서도 ""XXXX"" 검색어가 최신이고 ""YYY""가 이전 검색어로 표시됨. 21/12/22 NOMECORE라는 분도 같은 버그 호소하네요.",2021년 12월 28일,7,별표 5개 만점에 1개를 받았습니다.
1,JH K,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 4월 9일</span></div>JH K님 안녕하세요. 당근마켓 서비스를 이용하시면서 불편함을 겪으신 것 같아요. 먼저 이용에 불편함을 드려 죄송해요.
당근마켓에서 조금 더 면밀히 JH K님의 사례를 확인해 볼게요. 번거로우시겠지만 겪고 있는 내용을 자세히 적어서 고객센터 문의하기로 남겨 주실 수 있을까요? 이곳에서는 구체적인 계정 확인 및 처리에 어려움이 있어요. [나의당근&gt;자주묻는질문&gt;문의하기]를 통해 오류 상황에 대해 글 남겨 주세요. 담당 부서에서 확인 후, 필요한 도움 드릴게요.
감사합니다. 당근마켓 팀 드림</div>"," 1. 중복알림. 분명 푸쉬알림을 터치해서 확인했는데 앱 내 알림창(화면 상단 오른쪽 종 아이콘)에 계속 빨간 점 찍혀있고, 알림창 보면 아까/방금 눌러서 본 소식/알림이 하이라이트되어 있음. 매번 그럼. 불편. 2. 크롭오류. 채팅하면서 이미지를 첨부할 때, 그냥 보내는 것은 이상이 없는데, 크롭해서 보내면 보내는 순간 편집이력이 적용되지 않고 크롭 이전 이미지가 전송됨. 이건 실제로 쓰면서 3번 정도 연속으로 겪은 현상이라 불편하지만 외부 앱에서 크롭한 후 보내고 있음. 3. 개선요청. 동네가게 후기 서비스 중, 후기 하나를 선택...전체 리뷰1. 중복알림. 분명 푸쉬알림을 터치해서 확인했는데 앱 내 알림창(화면 상단 오른쪽 종 아이콘)에 계속 빨간 점 찍혀있고, 알림창 보면 아까/방금 눌러서 본 소식/알림이 하이라이트되어 있음. 매번 그럼. 불편. 2. 크롭오류. 채팅하면서 이미지를 첨부할 때, 그냥 보내는 것은 이상이 없는데, 크롭해서 보내면 보내는 순간 편집이력이 적용되지 않고 크롭 이전 이미지가 전송됨. 이건 실제로 쓰면서 3번 정도 연속으로 겪은 현상이라 불편하지만 외부 앱에서 크롭한 후 보내고 있음. 3. 개선요청. 동네가게 후기 서비스 중, 후기 하나를 선택하면 선택한 유저의 후기 관련 정보가 표시되는 페이지가 있음. (작성한 후기 n개였나 뭐 그런 내용) 거기서 닉네임 등 유저정보를 선택하면 프로필화면 (매너온도, 인증동네 표시 등 확인가능한 페이지) 으로 이동할 수 있게 해주면 더 좋을 것 같음. 이게 연계가 안 되어 있을 수 있나? 라면서 의아했는데, 나만 그런가?",2022년 4월 9일,47,별표 5개 만점에 3개를 받았습니다.
2,Kiman Kim,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 4월 9일</span></div>Kiman Kim님 안녕하세요. 당근마켓 서비스를 이용하시면서 불편함을 겪으신 것 같아요. 먼저 이용에 불편함을 드려 죄송해요.
당근마켓에서 조금 더 면밀히 Kiman Kim님의 사례를 확인해 볼게요. 번거로우시겠지만 겪고 있는 내용을 자세히 적어서 고객센터 문의하기로 남겨 주실 수 있을까요? 이곳에서는 구체적인 계정 확인 및 처리에 어려움이 있어요. [나의당근&gt;자주묻는질문&gt;문의하기]를 통해 오류 상황에 대해 글 남겨 주세요. 담당 부서에서 확인 후, 필요한 도움 드릴게요.
감사합니다. 당근마켓 팀 드림</div>"," 당근 덕에 미니멀라이프를 실현할 수 있어서 너무 좋지만, 자잘한 버그가 너무 많습니다. 채팅 알람이 오지않는 경우가 너무 많아 약속 놓친게 한두번이 아닙니다. 그리고 뭔가 상태를 변경하면 바로 반영이 안되는 문제가 너무 잦아요. 약속 잡을라고 하면 채팅 먼저 해야한다던지..이미 5분전부터 채팅중인데... 채팅 온 알람 떠서 가보면 새로온 메세지 반영이 안되어 있질 않나.. 싱크가 안맞는 경우가 너무 많아요. 이것만 개선되면 너무 좋을것 같아요~",2022년 4월 9일,38,별표 5개 만점에 3개를 받았습니다.
3,DY K,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 3월 22일</span></div>DY K님 안녕하세요. 리뷰 남겨주신 소중한 의견은 꼼꼼히 확인했습니다.
당근마켓을 이용해주시고 좋은 의견까지 남겨주셔서 감사합니다. 이렇게 감사의 인사를 드릴 수 있어 정말 기뻐요.
소중한 의견이 반영될 수 있도록 담당 부서에 전달하여 의논해 보겠습니다.
모든 사용자가 좋은 분들과 따뜻한 거래만 할 수 있도록 사용자의 의견을 귀담아듣고, 양질의 서비스로 개선해 나가는 당근마켓이 되겠습니다.
소중한 의견 감사합니다.
당근마켓 팀 드림</div>"," 개발자님, 당근마켓을 잘 쓰고있는 이용자입니다ㅎㅎ 하나 건의사항이 있는데요! 거래를 활발히 하다보면 채팅이 여러개가 쌓입니다. 그런데 채팅목록 삭제는 하나씩만 가능하더라구요! 선택삭제로 바꾸어서 원하는 만큼의 여러채팅을 한 번에 삭제하거나, 전체 삭제가 가능하도록 만드는게 어떨까요?? 몇 년전 것 까지 같이 삭제하는데 30분이 넘게 걸리네요ㅠㅠ 편의를 위해 선택삭제기능을 추가해주셨음 합니다!!",2022년 3월 21일,355,별표 5개 만점에 5개를 받았습니다.
4,JIN JEON,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 3월 22일</span></div>JIN JEON님 안녕하세요. 리뷰 남겨주신 소중한 의견은 꼼꼼히 확인했습니다.
당근마켓을 이용해주시고 좋은 의견까지 남겨주셔서 감사합니다. 이렇게 감사의 인사를 드릴 수 있어 정말 기뻐요.
소중한 의견이 반영될 수 있도록 담당 부서에 전달하여 의논해 보겠습니다.
모든 사용자가 좋은 분들과 따뜻한 거래만 할 수 있도록 사용자의 의견을 귀담아듣고, 양질의 서비스로 개선해 나가는 당근마켓이 되겠습니다.
소중한 의견 감사합니다.
당근마켓 팀 드림</div>"," 앱 잘 쓰고 있어요. 그런데 동네범위 설정이 홈화면에서만 적용되고, 검색(검색할 때마다 검색필터 들어가서 범위 줄여줘야 함)이나 키워드알림에서는 최대치로 고정되는 점이 아쉬워요. 내동네설정에서 홈화면/검색(기본값)/키워드알림 각각 동네범위를 설정할 수 있게 해주세요",2022년 3월 22일,269,별표 5개 만점에 5개를 받았습니다.
5,IEL,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 4월 2일</span></div>IEL님 안녕하세요. 당근마켓을 이용해주시고 소중한 시간 내어서 리뷰 남겨 주셔서 너무 감사합니다.❤️
내 근처 이웃과의 거래가 마음에 드신다니 당근마켓 팀도 너무 행복해요.
당근마켓에서 언제나 따뜻한 이웃들과의 거래만 있으시길 바라요 :)

추가적으로 뱃지 아이콘은 핸드폰 기종에 상관 없이 동일한 디자인으로 표시되고 있어요. 해당 현상이 지속된다면 캡처하여 [나의 당근 &gt; 자주 묻는 질문 &gt; 고객센터에 문의하기] 로 문의 남겨 주세요. 담당부서에서 면밀히 검토해볼게요 !
아주 작은 의견이더라도 소중하게 생각하고 있어요. 늘 귀 기울여 듣겠습니다. 감사합니다.

당근마켓 팀 드림</div>"," 가까운 거리의 사람들과 거래할 수 있어서 너무 좋아요! 사기 위험이 아예 없진 않지만, 대부분 판매글에서 본 그대로의 상품을 제대로 받아볼 수 있어서 믿음직스럽구요 ***** ***** 한가지 아쉬운 점은 프로필 뱃지 아이콘이 아이폰에서는 컬러풀하게 예쁜 그림으로 보이는데, 갤럭시에서는 컬러감 없이 그림만 나와서 가시성이 많이 떨어지네요 아이폰과 같은 색감에, 같은 뱃지 모습으로 나왔으면 좋겠어요 꼭! 좀 부탁드립니다!",2022년 4월 2일,175,별표 5개 만점에 5개를 받았습니다.
6,매일하루,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 3월 23일</span></div>매일하루님 안녕하세요. 당근마켓 서비스를 이용하시면서 불편함을 겪으신 것 같아요. 먼저 이용에 불편함을 드려 죄송해요.
당근마켓에서 조금 더 면밀히 매일하루님의 사례를 확인해 볼게요. 번거로우시겠지만 겪고 있는 내용을 자세히 적어서 고객센터 문의하기로 남겨 주실 수 있을까요? 이곳에서는 구체적인 계정 확인 및 처리에 어려움이 있어요. [나의당근&gt;자주묻는질문&gt;문의하기]를 통해 오류 상황에 대해 글 남겨 주세요. 담당 부서에서 확인 후, 필요한 도움 드릴게요.
감사합니다. 당근마켓 팀 드림</div>", 당근마켓 애용자 입니다. 처음엔 안그랬던 것 같은데 어느 순간부터 와이파이로 접속을 하면 로딩이 걸리고 이용에 불편함이 생기더라구요. 그래서 데이터로 접속하여 이용중입니다. 다른어플 사용에는 문제가 없는데 당근마켓만 와이파이로 접속을 하면 네트워크가 원활하지 않다고...그러네요. 매우 불편하고 난감합니다.,2022년 3월 23일,160,별표 5개 만점에 2개를 받았습니다.
7,pudding stapler,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 2월 2일</span></div>pudding stapler님 안녕하세요. 당근마켓 서비스를 이용하시면서 불편함을 겪으신 것 같아요. 먼저 이용에 불편함을 드려 죄송해요. 현재 작성해 주신 앱 리뷰 내에서는 구체적인 당근마켓 계정 확인 및 처리에 어려움이 있어요.번거로우시겠지만 앱 내 고객센터 [나의당근&gt;자주묻는질문&gt;문의하기]경로를 통해 오류 상황에 대해 문의 글 남겨 주세요. 담당 부서에서 확인 후, 필요한 도움 드릴게요.
다사다난 했던 2021년이 저물고 희망찬 2022년 새해가 밝았어요.
새해에도 늘 건강하고 행복이 가득하길 기원합니다. 새해 복 많이 받으세요.
감사합니다.
당근마켓 팀 드림</div>"," 1. 예를 들어 ""카메라""를 검색합니다. 스크롤을 내립니다. 물건을 구경합니다. 뒤로가기를 누릅니다. 그럼 스크롤이 다시 맨 위로 올라가있습니다. (스크롤이 위로 올라가있다기 보다 ""카메라""를 검색해서 나오는 첫화면 같습니다) 2. ""카메라""에 대한 검색을 마치고 ""가방""을 검색합니다. 스크롤을 내립니다. 물건을 구경합니다. 뒤로가기를 누릅니다. 그럼 ""카메라"" 검색결과가 나옵니다. 1번과 2번 두가지 문제점 모두 검색 목록에서 물건을 터치해서 판매화면으로 들어간 뒤에 바로 뒤로가기를 누르면 일어나지 않는 문제입니다. 검색 결과에서...전체 리뷰1. 예를 들어 ""카메라""를 검색합니다. 스크롤을 내립니다. 물건을 구경합니다. 뒤로가기를 누릅니다. 그럼 스크롤이 다시 맨 위로 올라가있습니다. (스크롤이 위로 올라가있다기 보다 ""카메라""를 검색해서 나오는 첫화면 같습니다) 2. ""카메라""에 대한 검색을 마치고 ""가방""을 검색합니다. 스크롤을 내립니다. 물건을 구경합니다. 뒤로가기를 누릅니다. 그럼 ""카메라"" 검색결과가 나옵니다. 1번과 2번 두가지 문제점 모두 검색 목록에서 물건을 터치해서 판매화면으로 들어간 뒤에 바로 뒤로가기를 누르면 일어나지 않는 문제입니다. 검색 결과에서 물건을 보려고 터치하고 바로 뒤로가기를 누르면 스크롤이 올라가있지도 않고 다시 검색한 것 같지도 않고 이전 검색결과가 나타나지도 않습니다. 하지만 물건을 구경하고 사진을 구경하다가 뒤로가기를 누르면 1번과 2번 같은 문제가 일어납니다 다른 리뷰에도 이런 사항들이 상세하게 적혀있는데도 불구하고 당근쪽에서는 자세히 써달라는 피드백 밖에 보이지 않네요",2022년 2월 2일,121,별표 5개 만점에 1개를 받았습니다.
8,그래이집사,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 3월 26일</span></div>그래이집사님 안녕하세요. 당근마켓은 내 동네 이웃과의 따뜻한 교류를 위해 거래 범위에 제한을 두고 있어요.
동네인증 하지 않은 동네를 내 동네로 설정했다면 채팅을 걸 수 없어요. 거래하고 싶은 동네가 있다면 동네인증 한 뒤 이용해 보는 건 어떨까요?
당근마켓은 최대 2개의 동네를 설정할 수 있어요. 자주 묻는 질문의 [두 지역에서 어떻게 사용하나요? (내 동네를 2개 설정하고 싶어요.)]내용을 확인해보세요.
감사합니다. 당근마켓 팀 드림</div>"," 앱은 정말 좋아요.근데 동네에서만 거래를 하는게 조금 불편합니다..내동네에서 봤는데 이따가 더 자세히 볼려고 놔두고 놀러가거나,일하러가거나해서 다시 당근을 키면 내동네에서 멀어지면 그물건이 사라지고 못삽니다..동네인증하라고 해서 하면 동네가 아니라고하고 내가있는동네에 설정을하면 그물건이 안떠요ㅠㅠ진짜 앱은 좋습니다",2022년 3월 26일,4,별표 5개 만점에 3개를 받았습니다.
9,PB PARK,"<div class=""LVQB0b""><div class=""QoPmEb""></div><div><span class=""X43Kjb"">Danggeun Market Inc.</span><span class=""p2TkOb"">2022년 1월 28일</span></div>PB PARK님 안녕하세요.
당근마켓 서비스를 이용하시면서 불편함을 겪으신 것 같아요. 먼저 이용에 불편함을 드려 죄송해요.
당근마켓에서 조금 더 면밀히 안연경님의 사례를 확인해 볼게요. 번거로우시겠지만 겪고 있는 내용을 자세히 적어서 고객센터 문의하기로 남겨 주실 수 있을까요? 이곳에서는 구체적인 계정 확인 및 처리에 어려움이 있어요. [나의당근&gt;자주묻는질문&gt;문의하기]를 통해 오류 상황에 대해 글 남겨 주세요. 담당 부서에서 확인 후, 필요한 도움 드릴게요.
감사합니다.

당근마켓 팀 드림</div>", 어플을 사용하다가 뒤로가기로 누르면 (갤럭시 노트 20 울트라 하단바에 있는 뒤로가기 어플자체적으로 있는 뒤로가기 아님) 검은 화면으로 생기면서 어플이 블랙아웃이 됩니다 ㅠㅠ 어플을 지웠다 다시 설치해도 이런현상이 반복되는데 왜이러는건가요? 뒤로가기버튼은 너무 자주사용하는 버튼이라 습관인데ㅠㅠ 안쓸수도없고 내용보다가 뒤로가기눌러서 블랙아웃되면 다시 어플을 켜서 보던 내용을 다시 찾아야하는 번거로움이 있네요 답변부탁드립니댜!,2022년 1월 28일,24,별표 5개 만점에 2개를 받았습니다.
